Image,Method,Search Depth,Time
Art,SSD,80,1.762000322341919
Books,SSD,90,1.9170582294464111
Dolls,SSD,110,3.291008949279785
Laundry,SSD,100,2.390819549560547
Moebius,SSD,100,2.622073173522949
Reindeer,SSD,100,2.2948858737945557
